Ranking,Name,Member,LHS,Rahh,Ramm,Rasss,DecDeg,DecMin,DecSec,,,parallax,distance_ly,spectral_type,mass,common_name
1,GJ  551,,49,14,29,43,-62,40,46,H,,0.76885,4.24009884893022, M5.0 V,0.11,Proxima Centauri
,GJ  559,A,50,14,39,36.5,-60,50,2,H,,0.74723,4.36277986697536, G2.0 V,0.14,alpha Centauri A
,GJ  559,B,51,14,39,35.1,-60,50,14,H,,0.74723,4.36277986697536, K0   V,0.92,alpha Centauri B
2,GJ  699,,57,17,57,48.5,4,41,36,H,,0.54551,5.9760591006581, M3.5 V,0.16,Barnard's Star
3,GJ  406,,36,10,56,29.2,7,0,53,N,,0.4191,7.77857313290384, M5.5 V,0.09,Wolf 359
4,GJ  411,,37,11,3,20.2,35,58,12,H,,0.39325,8.28989192625556, M2.0 V,0.46,Lalande 21185
5,GJ  244,A,219,6,45,8.9,-16,42,58,H,,0.38002,8.57849586863849, A1.0 V,0.99,Sirius
,GJ  244,B,,6,45,8.9,-16,42,58,,,0.38002,8.57849586863849,DA2,0,Sirius B
6,GJ   65,A,9,1,39,1.3,-17,57,1,N,,0.3737,8.72357506020872, M5.5 V,0.11,BL Ceti
,GJ   65,B,10,1,39,1.3,-17,57,1,,,0.3737,8.72357506020872, M6.0 V,0.1,UV Ceti
7,GJ  729,,3414,18,49,49.4,-23,50,10,H,,0.33722,9.66727952078761, M3.5 V,0.17,Ross 154
8,GJ  905,,549,23,41,54.7,44,10,30,N,,0.31637,10.3043904289282, M5.5 V,0.12,Ross 248
9,GJ  144,,1557,3,32,55.8,-9,27,30,H,,0.31122,10.4749052117473, K2.0 V,0.85,epsilon Eridani
,GJ  144,P1,,3,32,55.8,-9,27,30,,,0.31122,10.4749052117473, planet,,
10,GJ  887,,70,23,5,52,-35,51,11,H,,0.30508,10.6857217778943, M1.0 V,0.53,Lacaille 9352
11,GJ  447,,315,11,47,44.4,0,48,16,H,,0.29814,10.9344603206547, M4.0 V,0.16,Ross 128
12,GJ  866,A,68,22,38,33.4,-15,18,7,N,,0.2895,11.2607944732297, M5.0 VJ,0.11,EZ Aquarii A
,GJ  866,B,,22,38,33.4,-15,18,7,,,0.2895,11.2607944732297, M    V,0.11,EZ Aquarii B
,GJ  866,C,,22,38,33.4,-15,18,7,,,0.2895,11.2607944732297, M    V,0.08,EZ Aquarii C
13,GJ  820,A,62,21,6,53.9,38,44,58,H,,0.28608,11.3954138702461, K5.0 V,0.7,61 Cygni A
,GJ  820,B,63,21,6,55.3,38,44,31,H,,0.28608,11.3954138702461, K7.0 V,0.63,61 Cygni B
14,GJ  280,A,233,7,39,18.1,5,13,30,H,,0.28517,11.4317775362065, F5 IV-V,0.57,Procyon
,GJ  280,B,,7,39,18.1,5,13,30,,,0.28517,11.4317775362065,DQZ,.5  *,Procyon B
15,GJ  725,A,58,18,42,46.7,59,37,49,H,,0.28383,11.4857485114329, M3.0 V,0.35,
,GJ  725,B,59,18,42,46.9,59,37,37,H,,0.28383,11.4857485114329, M3.5 V,0.26,
16,GJ   15,A,3,0,18,22.9,44,1,23,H,,0.27987,11.6482652660164, M1.5 V,0.49,GX Andromedae
,GJ   15,B,4,0,18,22.9,44,1,23,,,0.27987,11.6482652660164, M3.5 V,0.16,GQ Andromedae
17,GJ  845,A,67,22,3,21.7,-56,47,10,H,,0.27607,11.8085992683015, K4.0 V,0.77,epsilon Indi A
,GJ  845,B,,22,4,10.5,-56,46,58,S,,0.27607,11.8085992683015, T1.0 V,.03 *,epsilon Indi B
,GJ  845,C,,22,4,10.5,-56,46,58,S,,0.27607,11.8085992683015, T6.0 V,.03 *,epsilon Indi C
18,GJ 1111,,248,8,29,49.5,26,46,37,N,,0.2758,11.8201595358956, M6.0 V,0.09,DX Cancri
19,GJ   71,,146,1,44,4.1,-15,56,15,H,,0.27397,11.8991130415739, G8.5 V,0.92,tau Ceti
20,GJ 1061,,1565,3,35,59.7,-44,30,45,*,,0.27201,11.9848534980332, M5.0 V,0.11,"Henry et al. 1997,2006"
21,GJ   54.1,,138,1,12,30.6,-16,59,56,H,,0.26908,12.1153560279471, M4.0 V,0.13,YZ Ceti
22,GJ  273,,33,7,27,24.5,5,13,33,H,,0.26623,12.245051271457, M3.5 V,0.26,Luyten's Star
23,SCR 1845-63,57 A,,18,45,5.3,-63,57,48,*,,0.2595,12.5626204238921, M8.5 V,0.07,Henry et al. 2006
,SCR 1845-63,57 B,,18,45,2.6,-63,57,52,,,0.2595,12.5626204238921, T6.0 V,.03 *,Biller et al. 2006
24,SO 0253+165,2,,2,53,0.9,16,52,53,*,,0.25941,12.5669789136888, M6.5 V,0.08,Henry et al. 2006
25,GJ  191,,29,5,11,40.6,-45,1,6,H,,0.25567,12.7508115930692, M2.0 VI,0.39,Kapteyn's Star
26,GJ  825,,66,21,17,15.3,-38,52,3,H,,0.25344,12.8630050505051, K9.0 V,0.6,AX Microscopii
27,DEN 1048-39,56,,10,48,14.7,-39,56,6,*,,0.24853,13.1171287168551, M8.5 V,0.07,"Jao et al. 2005,Costa et al. 2005"
28,GJ  860,A,3814,22,27,59.5,57,41,45,H,,0.24806,13.1419817786019, M3.0 V,0.28,Kruger 60 A
,GJ  860,B,3815,22,27,59.5,57,41,45,,,0.24806,13.1419817786019, M4.0 V,0.16,Kruger 60 B
29,GJ  234,A,1849,6,29,23.4,-2,48,50,H,,0.24444,13.3366061201113, M4.5 VJ,0.17,Ross 614 A
,GJ  234,B,1850,6,29,23.4,-2,48,50,,,0.24444,13.3366061201113, M    V,0.1,Ross 614 B
30,GJ  628,,419,16,30,18.1,-12,39,45,H,,0.23438,13.909036607219, M3.5 V,0.26,Wolf 1061
31,GJ   35,,7,0,49,9.9,5,23,19,H,,0.2327,14.0094542329179,DZ7,.5  *,van Maanen's Star
